Mes;Dia;Hora;Ta;Global;Difusa
1;1;8;3.24;16;16
1;1;9;4.51;93;87
1;1;10;6.04;178;157
1;1;11;7.4;256;207
1;1;12;8.88;265;223
1;1;13;10.4;210;196
1;1;14;11.34;202;177
1;1;15;11.81;137;121
1;1;16;11.52;89;48
1;2;8;1.79;25;22
1;2;9;2.84;99;90
1;2;10;5.87;202;163
1;2;11;7.49;254;207
1;2;12;8.98;357;210
1;2;13;10.44;448;85
1;2;14;11.33;372;85
1;2;15;11.66;258;60
1;2;16;11.27;107;35
1;3;8;-0.44;41;19
1;3;9;1.73;190;60
1;3;10;6.44;309;104
1;3;11;8.92;418;95
1;3;12;10.59;433;140
1;3;13;11.71;435;110
1;3;14;12.44;376;81
1;3;15;12.67;236;93
1;3;16;12.14;98;48
1;4;8;5.07;41;19
1;4;9;5.3;192;57
1;4;10;7.33;334;70
1;4;11;10.28;428;78
1;4;12;11.62;478;68
1;4;13;12.54;457;77
1;4;14;13.08;387;67
1;4;15;13.13;266;56
1;4;16;12.36;112;35
1;5;8;1.18;27;22
1;5;9;2.53;186;65
1;5;10;5.54;259;152
1;5;11;8.72;366;166
1;5;12;10.33;456;110
1;5;13;11.49;457;82
1;5;14;12.22;389;66
1;5;15;12.25;269;56
1;5;16;11.79;115;35
1;6;8;-0.01;36;23
1;6;9;2.19;139;98
1;6;10;5.39;231;164
1;6;11;7.76;342;189
1;6;12;9.64;337;225
1;6;13;10.72;411;153
1;6;14;11.44;388;75
1;6;15;11.67;262;70
1;6;16;11.33;109;45
1;7;8;1.63;26;22
1;7;9;3.33;104;93
1;7;10;5.12;128;126
1;7;11;6.39;172;168
1;7;12;7.65;197;190
1;7;13;8.75;159;158
1;7;14;9.54;130;129
1;7;15;9.84;109;106
1;7;16;9.55;64;57
1;8;8;6.68;29;23
1;8;9;6.83;47;47
1;8;10;7.99;63;63
1;8;11;8.99;138;138
1;8;12;9.74;257;225
1;8;13;10.39;217;202
1;8;14;10.92;194;177
1;8;15;11.23;241;105
1;8;16;10.8;82;63
1;9;8;2.08;26;22
1;9;9;3.44;115;98
1;9;10;6.21;151;143
1;9;11;8.21;155;153
1;9;12;9.68;217;205
1;9;13;10.77;186;181
1;9;14;11.35;217;188
1;9;15;11.54;212;130
1;9;16;11.09;56;54
1;10;8;1.59;25;22
1;10;9;2.8;124;100
1;10;10;5.94;216;168
1;10;11;7.5;281;215
1;10;12;8.49;340;230
1;10;13;9.32;441;128
1;10;14;9.94;386;98
1;10;15;10.14;248;106
1;10;16;10.03;105;61
1;11;8;-1.04;30;24
1;11;9;1.16;105;94
1;11;10;4.65;136;133
1;11;11;7.27;225;202
1;11;13;11.16;495;35
1;11;14;12.16;416;51
1;11;15;12.5;288;55
1;11;16;12.04;133;37
1;12;8;-0.27;45;19
1;12;9;2.09;206;48
1;12;10;6.84;348;64
1;12;11;9.56;445;75
1;12;12;11.55;496;68
1;12;13;12.94;478;78
1;12;14;13.8;413;65
1;12;15;14.07;292;55
1;12;16;13.49;134;41
1;13;8;0.49;47;17
1;13;9;2.79;211;43
1;13;10;7.71;220;171
1;13;11;10.52;404;144
1;13;12;12.31;474;112
1;13;13;13.52;484;73
1;13;14;14.17;431;34
1;13;15;14.35;294;59
1;13;16;14.01;135;45
1;14;8;1.91;44;23
1;14;9;3.69;164;97
1;14;10;7.65;336;89
1;14;11;10.61;438;98
1;14;12;12.09;284;237
1;14;13;13.2;442;146
1;14;14;13.82;397;103
1;14;15;13.87;291;70
1;14;16;13.21;102;72
1;15;8;4.11;40;25
1;15;9;4.86;141;104
1;15;10;7.09;251;169
1;15;11;9.06;247;214
1;15;12;10.03;280;237
1;15;13;10.89;403;195
1;15;14;11.25;248;202
1;15;15;11.21;195;147
1;15;16;10.97;143;44
1;16;8;4.04;29;25
1;16;9;4.78;120;103
1;16;10;6.9;146;141
1;16;11;8.89;166;164
1;16;12;10.17;108;108
1;16;13;11.07;242;221
1;16;14;11.5;319;192
1;16;15;11.78;237;137
1;16;16;11.15;133;59
1;17;8;1.1;28;25
1;17;9;2.73;91;87
1;17;10;6.06;86;86
1;17;11;8.23;118;118
1;17;12;10.08;125;125
1;17;13;10.98;119;119
1;17;14;11.72;144;143
1;17;15;12.36;128;124
1;17;16;11.85;72;67
1;18;8;2.23;48;24
1;18;9;3.76;113;101
1;18;10;5.58;146;142
1;18;11;7.82;197;189
1;18;12;9.87;333;246
1;18;13;11.35;301;241
1;18;14;12.36;327;194
1;18;15;12.82;248;137
1;18;16;12.64;137;64
1;19;8;2.61;40;29
1;19;9;4.57;123;105
1;19;10;8.1;145;141
1;19;11;10.54;174;171
1;19;12;12.49;258;233
1;19;13;14.05;269;235
1;19;14;14.96;321;201
1;19;15;15.3;318;57
1;19;16;14.9;161;42
1;20;8;1.51;44;29
1;20;9;4.26;163;105
1;20;10;9.04;230;178
1;20;11;11.8;280;226
1;20;12;13.42;321;250
1;20;13;14.61;350;241
1;20;14;15.31;395;141
1;20;15;15.4;305;86
1;20;16;14.96;157;53
1;21;8;1.91;36;30
1;21;9;3.79;148;110
1;21;10;6.74;200;174
1;21;11;7.98;277;227
1;21;12;9.84;359;247
1;21;13;11.02;474;140
1;21;14;11.77;442;75
1;21;15;12.09;327;59
1;21;16;11.86;166;45
1;22;8;5.38;52;28
1;22;9;5.55;64;64
1;22;10;5.76;73;73
1;22;11;5.83;142;142
1;22;12;7.05;280;244
1;22;13;7.75;281;243
1;22;14;8.36;398;149
1;22;15;8.6;333;56
1;22;16;8.09;169;48
1;23;8;1.85;62;22
1;23;9;1.8;229;49
1;23;10;4.09;374;70
1;23;11;5.38;481;73
1;23;12;6.36;531;76
1;23;13;7.19;510;96
1;23;14;7.38;449;81
1;23;15;7.59;321;84
1;23;16;7.16;164;61
1;24;8;-2.85;60;25
1;24;9;-0.71;230;54
1;24;10;2.24;379;66
1;24;11;4.39;485;74
1;24;12;5.62;535;76
1;24;14;6.73;458;72
1;24;15;7.02;340;60
1;24;16;6.95;181;43
1;25;8;-0.9;27;26
1;25;9;0.55;183;107
1;25;10;2.8;281;177
1;25;11;4.07;446;142
1;25;12;5.15;408;238
1;25;13;5.73;189;187
1;25;14;5.9;170;167
1;25;15;5.75;124;122
1;25;16;5.28;119;92
1;26;8;0.34;35;32
1;26;9;0.84;99;95
1;26;10;1.56;34;34
1;26;11;2.28;144;144
1;26;12;2.76;191;189
1;26;13;3.45;353;256
1;26;14;3.61;351;210
1;26;15;3.11;153;145
1;26;16;3.02;80;77
1;26;17;2.69;2;2
1;27;8;-1.96;69;24
1;27;9;-0.32;241;50
1;27;10;2.36;390;67
1;27;11;4.4;507;52
1;27;12;6.03;557;59
1;27;13;7.3;540;77
1;27;14;8.15;477;63
1;27;15;8.55;355;56
1;27;16;8.25;195;43
1;27;17;6.85;20;14
1;28;8;1.19;72;24
1;28;9;2.34;129;114
1;28;10;3.82;228;189
1;28;11;5.43;306;241
1;28;12;6.39;493;173
